time_min,distance_m,snr_140_db,snr_220_db,snr_gap_db,pl_140_db,pl_220_db,state_140,state_220,is_raining,rain_rate,fog_visibility_m
399,123.16884994102799,54.483988941356685,49.358403591955835,5.1255853494008505,117.23270092617527,120.86103992296434,LOS,LOS,False,0.0,
400,121.87444849140763,54.017317200450556,48.59760174109642,5.419715459354137,117.52967491275186,120.75354431727916,LOS,LOS,False,0.0,
401,120.42325943329367,54.10011640922538,48.633866705331386,5.466249703893993,117.034991533536,120.61276375438435,LOS,LOS,False,0.0,
402,119.08753111821053,54.17631966562949,49.653255082046954,4.5230645835825385,116.9475610735782,120.77752215199793,LOS,LOS,False,0.0,
403,117.76783570621873,56.091284495754465,49.56046685521141,6.530817640543056,116.94729083185607,120.64113997696448,LOS,LOS,False,0.0,
404,116.42178269093236,54.98989609003027,49.55503258640231,5.434863503627959,116.74053355955151,120.31985417100441,LOS,LOS,False,0.0,
405,115.18103189898817,56.25825949462364,49.03250930211075,7.2257501925128835,116.68023130357709,120.21003929292095,LOS,LOS,False,0.0,
406,113.75454097802296,54.34327611405311,49.353426089453194,4.989850024599917,116.53746005702297,120.27271524111153,LOS,LOS,False,0.0,
407,112.4104115820441,55.9310651030103,49.538340195563094,6.392724907447203,116.50465681999268,120.1271746070951,LOS,LOS,False,0.0,
408,110.99231637717841,55.697142790052624,48.43077296755371,7.266369822498916,116.34983646910223,120.60701893934852,LOS,LOS,False,0.0,
409,109.73184859373121,55.668465066078554,49.618315366928755,6.050149699149799,116.24649884529171,119.7265986958624,LOS,LOS,False,0.0,
410,108.37939547848282,54.168368439703,48.88292484401467,5.285443595688335,116.5720466887178,120.35931176394465,LOS,LOS,False,0.0,
411,107.02518322041487,56.559563131148586,48.86271896689445,7.696844164254138,116.01995918789206,119.74793599726998,LOS,LOS,False,0.0,
412,105.7482182125456,55.42771158991171,50.89518571946799,4.53252587044372,115.92626039693448,119.4018391143515,LOS,LOS,False,0.0,
413,104.40803472425208,56.54928635339236,50.63462650592294,5.914659847469423,115.7895174431791,119.10882449924344,LOS,LOS,False,0.0,
414,103.02040107819634,57.10069385282169,48.81050891197696,8.290184940844732,115.88627333748602,119.6921123480111,LOS,LOS,False,0.0,
415,101.64403603639167,56.35426886956523,49.86877587808637,6.485492991478864,115.56082254335581,118.74245887999189,LOS,LOS,False,0.0,
416,100.1954079236473,56.47863356588708,50.47567326876427,6.0029602971228115,115.43025190860276,118.81343521699166,LOS,LOS,False,0.0,
417,98.72789206475284,57.66476448879094,49.499078258816596,8.165686229974341,115.41719294151473,118.95186861546466,LOS,LOS,False,0.0,
418,97.36767516788674,56.788127470473896,50.95474432279374,5.833383147680152,115.18264643933969,118.37243169396818,LOS,LOS,False,0.0,
419,96.03277779317987,57.091477100783294,51.27395454025346,5.817522560529831,115.10286391529488,118.23114334712848,LOS,LOS,False,0.0,
420,94.732978161926,56.526668163269484,50.41621955270343,6.110448610566053,114.94480947192298,118.3498343452716,LOS,LOS,False,0.0,
421,93.48458598220388,57.82566954889028,51.569565338491266,6.256104210399016,114.83209579689891,118.22734907888132,LOS,LOS,False,0.0,
422,92.12252186299833,57.99718916118631,52.391032682379546,5.606156478806767,114.69749554401585,117.60478124677222,LOS,LOS,False,0.0,
423,90.79412243368158,57.01182833001906,52.444395518761596,4.567432811257461,114.60081788225303,117.50592112619604,LOS,LOS,False,0.0,
424,89.46588129613171,57.013991021809815,51.56204329952138,5.451947722288438,114.69196827295875,117.82324205155257,LOS,LOS,False,0.0,
425,88.18461610374928,56.945008071472145,52.19100822304374,4.753999848428407,114.35588409968314,117.08984268781946,LOS,LOS,False,0.0,
426,86.91050236790429,57.71128303972622,51.637443949996786,6.073839089729432,114.30774021372393,116.91164887992535,LOS,LOS,False,0.0,
427,85.67578339544905,57.89824528543893,53.33470911506734,4.5635361703715915,114.13918158625194,117.0101168088714,LOS,LOS,False,0.0,
428,84.47880371493652,56.809268823079066,50.88779921924645,5.9214696038326124,113.9644124915905,118.55908959982345,LOS,LOS,False,0.0,
429,83.4013447962192,57.32410123868264,51.103027878503326,6.221073360179311,113.82941972156765,116.30843378734177,LOS,LOS,False,0.0,
430,82.39299468170047,58.25711069801935,53.89425862884771,4.362852069171645,113.72392122806909,116.23936678932917,LOS,LOS,False,0.0,
431,81.3181648085153,56.9845187510214,52.500522341305086,4.483996409716312,113.63259997284482,116.83176954706336,LOS,LOS,False,0.0,
432,80.2835794918587,58.63576376857118,53.653983748284354,4.981780020286827,113.73209383057362,115.78965788049491,LOS,LOS,False,0.0,
433,79.25044557279158,58.5431200287231,53.792398485562124,4.750721543160978,113.56407206800344,115.4706020432989,LOS,LOS,False,0.0,
434,78.28609424878339,57.93623392409488,53.38226096347897,4.5539729606159085,113.4928278742219,115.41136272605354,LOS,LOS,False,0.0,
435,77.35933180134384,58.28438508516166,53.923921483286065,4.360463601875594,113.24344088189127,115.46782573672488,LOS,LOS,False,0.0,
436,76.46845071729084,57.83761442313604,53.37281951522498,4.464794907911056,113.09327523866294,114.89973490306464,LOS,LOS,False,0.0,
437,75.59411740224918,59.911431965764635,54.09166702374223,5.8197649420224025,112.9727369022483,114.68016862023049,LOS,LOS,False,0.0,
438,74.71989207028318,59.71783689714195,54.20498750839676,5.512849388745188,112.93174779798383,114.3835431101463,LOS,LOS,False,0.0,
439,73.8472128266665,59.841224749158926,55.04442439717927,4.796800351979655,112.78274545897676,114.21850819823563,LOS,LOS,False,0.0,
440,72.89983670884648,59.857950020560274,54.98946716791941,4.8684828526408666,112.6612617421704,114.07343810000287,LOS,LOS,False,0.0,
441,71.85012895844721,60.6432185669417,57.0301344282354,3.6130841387062986,112.5896058314987,113.79918995126185,LOS,LOS,False,0.0,
442,70.86680529678391,59.445647521868125,56.55855883262558,2.887088689242546,112.57214894975571,113.77771077036752,LOS,LOS,False,0.0,
443,69.8365971173643,59.3005523556608,54.932025468469845,4.368526887190953,112.79268395143897,114.86404693862977,LOS,LOS,False,0.0,
444,68.77962676710935,59.15138755316872,53.01395992302603,6.137427630142689,112.15873671535796,114.22819068387679,LOS,LOS,False,0.0,
445,67.74331246062042,59.50708119903883,55.65519914004732,3.8518820589915066,112.0186658978774,114.07562566303815,LOS,LOS,False,0.0,
446,66.67177933584817,59.16546905244799,54.05854284081738,5.106926211630608,111.90132306363614,114.6927510893353,LOS,LOS,False,0.0,
447,65.59309427821185,60.543639998488736,55.88959438478423,4.654045613704504,111.73689375675072,114.50987045556823,LOS,LOS,False,0.0,
448,64.54480261897622,59.32250050378746,54.56135021324346,4.761150290544002,111.61608373590413,114.74334973077379,LOS,LOS,False,0.0,
449,63.53007300456936,59.60411352853927,53.02232463535703,6.581788893182242,111.48994206553186,114.83526063723679,LOS,LOS,False,0.0,
450,62.50219468889132,61.31418128099807,53.39268814400799,7.92149313699008,111.38187124638385,115.2704658614462,LOS,LOS,False,0.0,
451,61.55532327451911,59.742222758845315,54.80402971532466,4.938193043520656,111.37470572255202,115.55575648532526,LOS,LOS,False,0.0,
452,60.6453797563643,59.30811505828716,52.96467805300116,6.343437005285999,111.05279147783138,115.38537004144334,LOS,LOS,False,0.0,
453,59.83860673244406,61.08837824661984,53.6984739567632,7.389904289856638,110.96093374231316,116.7253433084188,LOS,LOS,False,0.0,
454,58.917747840687646,60.67456947714054,54.53053788625316,6.14403159088738,111.02085446550004,115.94030491882103,LOS,LOS,False,0.0,
455,57.899815493252675,62.40482408763854,54.336231455720736,8.068592631917802,110.84985402462964,115.86982741510619,LOS,LOS,False,0.0,
456,56.93330537725483,62.20944848061925,53.602822414371516,8.606626066247735,110.50339480054666,116.1118420507903,LOS,LOS,False,0.0,
457,55.84496502294195,62.32286304888919,53.67147619546091,8.651386853428278,110.3739376129034,116.45661480778196,LOS,LOS,False,0.0,
458,54.83398833703466,60.700899103002726,53.27972763567762,7.4211714673251095,110.31603257887686,116.85368919180516,LOS,LOS,False,0.0,
459,53.675878387375974,61.71969800408203,52.79877673382926,8.920921270252776,109.99428287449321,116.64994914225836,LOS,LOS,False,0.0,
460,52.511825733340906,61.91721574078653,53.409484358646225,8.507731382140307,109.827813156458,117.26252780263192,LOS,LOS,False,0.0,
461,51.42746812706266,62.8563914111958,52.30300914123642,10.553382269959378,109.69963898870408,117.23304677066648,LOS,LOS,False,0.0,
462,50.33693582928095,63.420240261911424,50.44987401652581,12.970366245385613,109.67733077205024,117.81272087376635,LOS,LOS,False,0.0,
463,50.703544575263685,62.1977812805952,52.44079340951532,9.756987871079879,110.00794890012374,117.13083608726032,LOS,LOS,False,0.0,
464,51.661785220376316,61.42274220016585,51.60579706317493,9.816945136990917,109.65682389682541,117.70234239521501,LOS,LOS,False,0.0,
465,52.579995580627156,63.42185065460603,51.54377317758073,11.8780774770253,109.82239119577261,117.52435804688646,LOS,LOS,False,0.0,
466,53.49019688992371,61.11567101480892,53.554975594003295,7.560695420805622,110.33545522085385,117.63251633059835,LOS,LOS,False,0.0,
467,54.43089328394131,62.26528086711505,50.06496364547789,12.200317221637164,110.11468249325502,118.93586217890117,LOS,LOS,False,0.0,
468,55.42704419371797,61.52214839575841,49.42142056645429,12.10072782930412,110.29759525825608,117.96361047698691,LOS,LOS,False,0.0,
469,56.32918748116957,63.012533373769756,51.277178910876444,11.735354462893312,110.41121474235557,118.71780056951395,LOS,LOS,False,0.0,
470,57.19636756801827,61.44267728466186,50.120619590862354,11.322057693799508,110.5943019722386,118.58133106830442,LOS,LOS,False,0.0,
471,58.070998612567934,59.179145311366725,50.5724314641266,8.606713847240123,110.69061553244123,118.63106045315747,LOS,LOS,False,0.0,
472,59.035285926537796,61.183565989253225,51.51534129016501,9.668224699088213,110.8185586588619,118.49149945858679,LOS,LOS,False,0.0,
473,59.845370309089766,60.72967446134331,50.997809492873856,9.731864968469452,110.95085964711699,118.6179591454836,LOS,LOS,False,0.0,
474,60.75247995483578,61.66364785562057,50.175794831934034,11.487853023686533,111.1359656715363,119.28685715384186,LOS,LOS,False,0.0,
475,61.739808493837785,59.16836373976524,49.26467359029475,9.903690149470492,111.21772306176784,118.92710805169774,LOS,LOS,False,0.0,
476,62.656395683503185,60.32569355353169,50.71574359074974,9.609949962781954,111.33694000855165,119.34482317965583,LOS,LOS,False,0.0,
477,63.53829506583458,60.36474582578375,49.244724111190195,11.120021714593555,111.89756061570823,119.71539667688646,LOS,LOS,False,0.0,
478,64.50942156059702,60.76609999513325,49.583125693005044,11.182974302128208,111.64757641242336,119.10980184927419,LOS,LOS,False,0.0,
479,65.41564811333478,60.48521583007327,49.38028263654866,11.104933193524616,112.0485015551518,119.38594461558287,LOS,LOS,False,0.0,
480,66.28276386361611,60.1482943541874,48.7180473498167,11.430247004370699,112.02146276954387,119.80786753950676,LOS,LOS,False,0.0,
481,67.1951412057095,60.66063364604843,49.44000230087609,11.220631345172343,111.94915606416804,119.59186036352722,LOS,LOS,False,0.0,
482,68.20698531814257,59.92032478783548,48.5044816899588,11.415843097876682,112.10058884607393,119.96286107691351,LOS,LOS,False,0.0,
483,69.26708840200288,59.86710013463265,49.880030400059255,9.987069734573396,112.30327334709578,119.66958069494522,LOS,LOS,False,0.0,
484,70.3417660316537,59.4270186998304,50.32036080631134,9.106657893519056,112.51944537537089,119.69901198289271,LOS,LOS,False,0.0,
485,71.43138047820601,59.273485182159284,50.88460793325264,8.388877248906645,112.50446682374044,119.80760494106292,LOS,LOS,False,0.0,
